Player,Pos,Age,Tm,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Jamal Murray\murraja01,SG,19,DEN,3.2,9.5,5,10.7,2.9,3.3,1.1,4.8,5.9,4.7,1.4,0.7,3.1,3.4,22.5,103,114,16.4,0.576,0.396,0.215,3.7,9.6,6.6,15.5,1.4,0.9,12.6,23.7
Mike Muscala\muscami01,C,25,ATL,1.8,4.4,4.9,9,2,2.6,3,6.5,9.6,3.8,1.2,1.6,2.2,3.9,17.3,116,107,14.8,0.645,0.424,0.293,5.7,19.6,12.6,6.7,1.6,2.3,11.1,13.6
Larry Nance\nancela02,PF,24,LAL,0.3,1.2,6.1,11,2,2.7,4.1,8.4,12.5,3.2,2.8,1.3,1.9,5,15.2,117,109,19.7,0.621,0.016,0.346,11.8,20.6,16.1,9.5,3.1,1.7,11.8,15.1
Shabazz Napier\napiesh01,PG,25,POR,3.3,8.9,3.8,8.8,3.7,4.8,0.8,5.1,5.9,6.5,3.1,0.2,4,3.7,21.1,102,109,16,0.575,0.354,0.268,1.8,9.8,5.9,16.2,2.8,0.7,14.1,19.7
Jameer Nelson\nelsoja01,PG,34,DEN,2.5,6.5,3.9,7.9,1.1,1.5,0.7,3.9,4.6,9.2,1.3,0.2,3.1,4.7,16.4,111,115,9,0.52,0.537,0.083,1.4,10.2,6,22.9,1.2,0.3,20.9,13.1
Joakim Noah\noahjo01,C,31,NYK,0,0,4.9,9.9,1.7,3.8,8,11.9,19.9,5.1,1.5,1.8,2.9,6.3,11.4,111,108,15.8,0.51,0,0.4,17.2,22.1,19.7,14.2,2.5,4.4,25.4,17.3
Nerlens Noel\noelne01,C,22,PHI,0,0.1,9.2,15,3.7,5.4,4,8.5,12.4,2.6,3.7,2.2,2.5,6.1,22.2,119,102,15.5,0.587,0,0.358,12.5,24.1,18.1,4.1,2.2,4,19.6,15.5
Lucas Nogueira\noguelu01,C,24,TOR,0.1,0.6,4.7,6.7,2,3.1,3.8,7.5,11.4,2,2.4,4.1,2.1,6.4,11.8,125,102,16.9,0.648,0.228,0.281,5,18.2,11.7,5.9,2.8,8.7,14.7,10.9
Dirk Nowitzki\nowitdi01,PF,38,DAL,2.9,7.6,7.9,17.1,3.6,4.1,0.8,12.1,12.9,3,1.1,1.4,1.9,4.1,28.1,103,106,16.8,0.57,0.399,0.154,1.7,24,12.5,10.7,1.2,1.6,5.7,20.6
Jusuf Nurkic\nurkiju01,C,22,DEN,0,0,9.1,18,3.4,6.8,5.4,10.3,15.7,3.6,1.5,2.2,4.9,5.3,21.7,98,109,17.5,0.511,0.012,0.324,9.3,24.6,17.2,11,1.5,3.7,15.2,27.5
Jusuf Nurkic\nurkiju01,C,22,POR,0,0.1,10.2,20,5.4,8.2,5.5,12.1,17.6,5.4,2.1,3.2,5.3,6.2,25.8,105,104,17.5,0.511,0.012,0.324,9.3,24.6,17.2,11,1.5,3.7,15.2,27.5
Kyle O'Quinn\oquinky01,C,26,NYK,0.1,0.7,8.7,16.1,2.6,3.4,6.4,11.5,17.9,4.8,1.5,4.2,3.1,7.1,20.2,114,105,19.1,0.631,0.026,0.379,9.7,28.1,19.1,17.2,1.3,5.4,20.7,17.3
Jahlil Okafor\okafoja01,C,21,PHI,0,0,10.4,20.2,4.6,6.8,3.5,6.8,10.3,2.5,0.9,2.1,3.9,5.2,25.3,101,110,11.9,0.525,0.032,0.232,5.2,19.7,12.4,6,0.4,4,12.5,20.7
Victor Oladipo\oladivi01,SG,24,OKC,2.8,7.8,6.3,12.8,2.6,3.4,0.9,5.6,6.4,3.9,1.7,0.5,2.6,3.4,23.6,106,109,23.6,0.597,0.343,0.288,1.8,15.2,8.6,19.6,2.8,2.1,12.5,30.1
Kelly Olynyk\olynyke01,C,25,BOS,2.2,6.2,6.2,10.2,2.9,4,2.4,9.3,11.6,4.8,1.4,0.9,3.1,6.7,21.9,113,107,16.3,0.607,0.42,0.28,5.4,21.8,13.6,15.9,1.7,1.6,18.3,21.6
Kelly Oubre\oubreke01,SF,21,WAS,1.7,5.8,4.1,7.8,2.3,3,1.9,6.1,8,1.4,1.8,0.5,1.5,6,15.4,104,110,13.1,0.577,0.455,0.283,3.2,16,9.7,5.7,1.5,1.2,9.9,18.6
Zaza Pachulia\pachuza01,C,32,GSW,0,0.1,6.2,11.6,3.7,4.8,5.3,10.2,15.6,5,2.2,1.3,3.3,6.3,16.2,118,101,17.5,0.638,0,0.308,9.4,26.4,18.6,15.4,2.1,1.1,19.7,16.7
Jabari Parker\parkeja01,PF,21,MIL,1.9,5.2,9.8,18.7,4.8,6.4,2.3,6.9,9.2,4.2,1.5,0.6,2.7,3.3,30.1,110,110,26.9,0.622,0.143,0.857,7.9,16,11.9,0,0,0,0,29.4
Tony Parker\parketo01,PG,34,SAS,0.7,2.2,7.8,16.1,2.7,3.8,0.3,3.3,3.6,9.2,1.1,0.1,2.9,3,20.5,107,109,12.7,0.485,0.092,0.166,0.6,10.1,5.3,30,1.3,0.1,14,20.9
Chandler Parsons\parsoch01,SF,28,MEM,1.9,7.2,3.9,9.9,2.7,3.3,0.5,6,6.5,4.2,1.5,0.4,1.8,4,16.2,93,109,14.4,0.6,0.531,0.14,2.5,13.3,7.9,16.3,1.2,1.5,13.2,18.3
Patrick Patterson\pattepa01,PF,27,TOR,3,8,1.9,4.2,1.4,1.9,2,7.3,9.3,2.4,1.3,0.7,1.2,3.8,14.1,115,109,8.5,0.522,0.665,0.139,2.3,14.2,8.1,5.4,2,1.7,12.1,10.7
Chris Paul\paulch01,PG,31,LAC,3.2,7.9,6.5,12.6,6,6.8,1,6.9,7.9,14.6,3.1,0.2,3.8,3.8,28.7,126,106,25.1,0.605,0.477,0.283,2.2,17.9,10,43,2.8,0.9,13.2,24.7
Elfrid Payton\paytoel01,PG,22,ORL,0.8,3,8,15.7,3,4.3,1.8,6.1,8,10.9,1.8,0.8,3.7,3.6,21.5,107,111,18,0.567,0.145,0.258,4.2,11.4,7.7,33.9,2.4,0.8,18.5,21.5
Mason Plumlee\plumlma01,C,26,POR,0,0.2,7.7,14.3,4.2,7.3,3.9,10.2,14.1,7,1.6,2.1,2.9,4.9,19.6,116,107,16.3,0.563,0.004,0.493,10,22.3,16.1,14.1,1.7,4.7,19.6,17
Mason Plumlee\plumlma01,C,26,DEN,0,0.1,7.6,13.9,3.6,5.9,3.9,9.5,13.4,5.4,1.5,2.2,3.6,5.9,18.9,112,109,16.3,0.563,0.004,0.493,10,22.3,16.1,14.1,1.7,4.7,19.6,17
Jakob Poeltl\poeltja01,C,21,TOR,0,0,5.4,9.3,2.5,4.6,6.3,7,13.4,1,1.4,1.6,2.3,9.1,13.4,118,108,17.4,0.638,0.008,0.297,13.9,15.7,14.8,4,1,5.2,14.8,15.1
Otto Porter\porteot01,SF,23,WAS,2.8,6.5,5,8.7,1.9,2.3,2.2,7.5,9.7,2.3,2.2,0.8,0.8,3.7,20.3,129,108,17.5,0.587,0.358,0.15,4.3,17.9,11.1,9.2,2.5,1.5,6.9,17.5
Bobby Portis\portibo01,PF,21,CHI,1.6,4.8,7.6,14.1,2,3,3.8,11.1,14.9,1.8,0.8,0.6,1.9,4.7,22,110,107,21.1,0.558,0.268,0.229,10.8,22.4,16.4,13.8,1.3,1.1,10.1,25.8
Kristaps Porzingis\porzikr01,PF,21,NYK,2.6,7.3,7.6,15.5,4.6,5.8,2.6,8.4,11,2.2,1.1,3,2.7,5.6,27.6,108,109,20.4,0.538,0.256,0.308,4.5,18.1,11.4,6.5,1.1,6.3,8.5,31.3
Dwight Powell\poweldw01,C,25,DAL,0.8,2.9,6.8,11.8,4.2,5.5,3.6,8.3,11.9,1.9,2.4,1.5,1.3,5.3,20.1,120,105,17.3,0.636,0.211,0.376,8.5,20.4,14.3,6.6,2.3,1.9,10.7,14.8
Norman Powell\powelno01,SG,23,TOR,2.1,6.4,6.3,12.3,4.7,5.9,1,5.3,6.3,3,1.9,0.5,2.6,4.7,23.6,109,109,9.5,0.497,0.448,0.133,1.2,10.4,5.9,12.7,2,1.4,14.6,19.4
